,CATAID,WHAN classification,BPT classification
7681,105623,SF,composite
7682,105624,SF,SF
7683,105625,sAGN,composite
7684,105626,SF,unclassified
7685,105627,SF,SF
7686,105628,SF,seyfert
7687,105629,SF,SF
7688,105630,SF,SF
7689,105631,unclassified,unclassified
7690,105632,SF,SF
7691,105633,SF,SF
7692,105634,SF,SF
7693,105635,retired,unclassified
7694,105636,retired,unclassified
7695,105637,SF,SF
7696,105638,SF,unclassified
7697,105639,SF,SF
7698,105640,SF,SF
7699,105641,sAGN,unclassified
7700,105642,sAGN,seyfert
7701,105643,unclassified,unclassified
7702,105644,unclassified,unclassified
7703,105645,SF,SF
7704,105646,SF,SF
7705,105647,SF,SF
7706,105648,SF,unclassified
7707,105649,unclassified,unclassified
7708,105650,sAGN,composite
7709,105651,SF,SF
7710,105652,retired,SF
7711,105653,SF,SF
7712,105654,SF,SF
7713,105655,SF,SF
7714,105656,retired,unclassified
7715,105657,sAGN,composite
7716,105658,SF,SF
7717,105659,unclassified,unclassified
7718,105660,wAGN,composite
7719,105661,SF,composite
7720,105662,SF,SF
7721,105663,unclassified,unclassified
7722,105664,retired,unclassified
7723,105665,SF,SF
7724,105666,SF,composite
7725,105667,SF,SF
7726,105668,SF,SF
7727,105669,SF,SF
7728,105670,unclassified,unclassified
7729,105671,SF,composite
7730,105672,SF,SF
7731,105673,SF,composite
7732,105674,sAGN,unclassified
7733,105675,sAGN,unclassified
7734,105676,SF,composite
7735,105677,sAGN,seyfert
7736,105678,SF,SF
7737,105679,SF,SF
7738,105680,retired,seyfert
7739,105681,SF,SF
7740,105682,retired,unclassified
7741,105683,SF,SF
7742,105684,SF,SF
7743,105685,SF,SF
7744,105686,unclassified,unclassified
7745,105687,SF,SF
7746,105688,unclassified,unclassified
7747,105689,SF,SF
7748,105690,wAGN,unclassified
7749,105691,SF,SF
7750,105692,SF,SF
7751,105693,retired,unclassified
7752,105694,retired,LINERs
7753,105695,wAGN,seyfert
7754,105696,unclassified,unclassified
7755,105697,unclassified,unclassified
7756,105698,SF,SF
7757,105699,SF,SF
7758,105700,wAGN,unclassified
7759,105701,SF,unclassified
7760,105702,unclassified,unclassified
7761,105703,SF,SF
7762,105704,unclassified,unclassified
7763,105705,SF,SF
7764,105706,unclassified,unclassified
7765,105707,SF,SF
7766,105708,SF,SF
7767,105709,sAGN,unclassified
7768,105710,retired,LINERs
7769,105711,SF,composite
7770,105712,SF,SF
7771,105713,SF,SF
7772,105714,retired,unclassified
7773,105715,sAGN,unclassified
7774,105716,SF,unclassified
7775,105717,retired,unclassified
7776,105718,unclassified,unclassified
7777,105719,SF,SF
7778,105720,SF,SF
7779,105721,SF,SF
7780,105722,retired,composite
7781,105723,retired,composite
7782,105724,unclassified,unclassified
7783,105725,retired,LINERs
7784,105726,passive,unclassified
7785,105727,SF,unclassified
7786,105728,sAGN,composite
7787,105729,unclassified,unclassified
7788,105730,SF,unclassified
